account_id,unique_senders,unique_receivers,incoming_count,outgoing_count,total_received,total_sent,pass_through_ratio,rapid_movements,network_risk_score,network_risk_level,network_risk_reasons
ACC100520,10,11,10,11,27898.71,25331.5,0.91,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100388,10,13,10,13,28421.87,30508.99,1.07,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100902,10,8,10,8,18598.86,18133.65,0.97,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100410,13,10,13,10,18065.96,18008.1,1.0,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100139,12,13,13,13,34793.45,22108.61,0.64,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100763,10,11,10,11,18178.7,23482.5,1.29,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100909,13,14,13,14,28952.34,29541.38,1.02,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100841,10,10,11,10,17043.31,12559.95,0.74,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100738,15,12,15,12,43266.38,25175.94,0.58,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100192,11,12,11,12,18313.39,16347.41,0.89,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100535,12,17,12,17,68710.05,36815.65,0.54,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100764,10,12,10,12,15813.59,21707.91,1.37,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100390,13,12,13,12,25313.73,39102.74,1.54,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100859,12,13,12,13,42476.74,28924.79,0.68,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100057,10,8,10,8,11940.7,24036.99,2.01,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100490,12,13,13,14,24486.76,37295.1,1.52,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100080,12,8,12,8,13645.13,29217.48,2.14,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100649,12,11,12,11,28412.72,28533.23,1.0,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100673,15,9,15,9,18961.15,25866.66,1.36,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100506,10,12,10,12,14345.79,40160.98,2.8,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100394,11,10,11,10,22015.03,25554.49,1.16,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100288,11,13,11,13,10776.11,58402.86,5.42,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100546,12,10,12,10,21984.87,13020.78,0.59,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100768,13,12,13,12,17175.68,19824.66,1.15,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100591,14,10,14,10,24429.25,12681.6,0.52,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100814,10,8,10,8,27289.82,20361.15,0.75,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100806,10,21,10,21,10266.16,63166.48,6.15,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100986,15,10,15,10,23901.96,49938.01,2.09,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100569,17,14,17,14,56360.89,34845.91,0.62,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100146,11,14,11,14,23534.59,27820.32,1.18,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100878,10,10,10,10,18738.28,25646.5,1.37,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100316,10,13,10,13,13698.47,43880.88,3.2,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100047,10,11,10,11,6468.54,20784.67,3.21,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100345,12,12,12,12,26089.82,20272.9,0.78,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100406,13,11,13,11,26843.56,41889.67,1.56,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100407,13,10,13,11,21449.28,33338.62,1.55,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100412,10,10,10,10,22357.6,20340.4,0.91,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100871,10,11,10,11,24545.53,20361.52,0.83,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100743,12,11,12,12,26852.66,34689.81,1.29,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100788,11,12,11,12,20175.24,19661.38,0.97,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100689,12,12,12,12,22391.86,12941.37,0.58,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100978,14,17,14,17,21762.58,22037.99,1.01,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100327,15,12,16,12,22667.12,25654.56,1.13,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100831,13,11,13,11,25573.75,16396.95,0.64,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100217,12,8,12,8,19204.76,24758.09,1.29,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100255,12,12,12,12,27857.76,29482.43,1.06,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100493,11,17,11,17,28920.11,41832.59,1.45,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100645,14,12,14,12,32467.8,17263.15,0.53,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100566,10,12,10,12,20880.96,24465.64,1.17,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100962,10,12,10,12,24744.79,25015.04,1.01,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100547,11,13,11,13,16333.11,53060.54,3.25,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100341,14,13,14,13,25083.79,36046.06,1.44,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100038,14,10,14,11,15177.96,23140.64,1.52,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100848,10,9,10,9,17202.33,12426.63,0.72,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100600,13,12,13,12,23939.65,40952.41,1.71,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100044,14,14,14,16,11377.15,29340.05,2.58,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100113,11,16,11,16,23277.07,27633.44,1.19,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100922,10,8,10,8,33422.14,21930.9,0.66,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100494,11,10,11,10,19106.75,15192.67,0.8,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100646,15,11,16,11,29001.26,23502.66,0.81,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100170,12,8,12,8,30890.88,18337.78,0.59,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100120,11,12,11,13,25136.3,36597.38,1.46,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100340,10,12,10,13,27594.81,27316.51,0.99,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100041,11,9,11,9,13679.3,18591.41,1.36,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100940,15,14,15,14,22782.99,27151.87,1.19,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100581,11,11,11,11,15542.47,38881.09,2.5,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100224,10,13,10,13,14245.91,22056.6,1.55,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100108,12,12,13,12,16400.69,39062.88,2.38,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100415,14,12,14,12,23970.54,20719.81,0.86,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100005,11,10,11,10,19990.22,26704.38,1.34,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100130,10,9,10,9,23941.16,27281.53,1.14,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100644,13,10,13,10,20411.69,23122.72,1.13,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100860,9,11,9,11,19760.3,37758.29,1.91,1,55,MEDIUM,Multiple incoming counterparties | 8+ outgoing counterparties | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100869,10,10,10,10,14815.91,27386.56,1.85,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100257,16,16,16,16,27111.15,50580.68,1.87,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100143,14,11,14,11,23029.81,38735.77,1.68,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100808,10,16,10,16,18444.44,24710.34,1.34,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100084,11,11,11,11,23254.44,21095.23,0.91,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100972,12,11,12,11,29164.74,26194.02,0.9,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100256,12,9,12,10,19026.76,40140.61,2.11,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100915,10,13,10,13,20885.49,43081.68,2.06,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100824,10,9,10,9,16579.16,25589.51,1.54,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100573,11,10,11,10,27337.9,32635.2,1.19,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100236,10,12,10,12,16260.79,35867.97,2.21,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100846,11,8,11,8,22286.84,18036.81,0.81,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100677,12,16,12,16,21045.35,24459.28,1.16,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100378,12,9,13,9,29694.03,25858.62,0.87,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100741,16,12,16,12,24800.24,60656.37,2.45,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100903,10,14,10,14,16469.04,49907.89,3.03,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100529,14,11,14,11,40892.48,23279.16,0.57,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100060,11,13,11,13,17240.66,41405.78,2.4,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100865,13,11,13,11,16486.83,24467.1,1.48,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100857,12,9,12,9,19078.33,11179.13,0.59,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100280,10,14,11,14,17411.7,25744.14,1.48,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100655,13,13,13,13,18318.99,72971.47,3.98,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100474,12,14,13,14,7416.33,44774.95,6.04,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100630,11,10,11,10,25001.13,15328.1,0.61,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100472,10,12,10,12,19832.98,26861.43,1.35,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100204,15,8,15,8,25642.36,23024.42,0.9,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100365,12,10,12,10,36626.06,18721.44,0.51,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100928,12,9,12,9,24123.7,16265.59,0.67,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100307,15,15,15,15,58444.33,32256.11,0.55,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100608,15,11,15,12,21758.65,25809.6,1.19,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100746,14,14,14,14,13137.07,27336.31,2.08,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100344,10,9,10,9,26517.9,18108.66,0.68,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100930,13,8,13,8,9508.64,18360.12,1.93,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100167,14,15,14,15,27168.5,31729.86,1.17,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100348,13,14,13,14,34090.57,22435.88,0.66,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100827,11,8,11,8,19263.5,14421.32,0.75,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100512,10,9,10,9,34399.06,20846.61,0.61,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100387,10,9,10,9,15019.4,20929.47,1.39,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100755,11,8,11,8,21509.2,14996.47,0.7,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100766,12,9,12,9,19238.42,21005.08,1.09,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100473,14,14,14,14,28414.66,36728.03,1.29,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100816,13,15,13,15,19588.87,27819.41,1.42,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100145,17,13,17,13,21980.56,34484.24,1.57,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100908,10,16,10,16,16741.02,23564.16,1.41,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100585,12,12,12,13,49146.94,26688.16,0.54,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100541,18,13,18,13,43094.05,24150.18,0.56,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100229,19,13,19,13,62790.39,31900.3,0.51,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100069,11,12,11,12,14860.22,24329.81,1.64,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100843,12,9,12,9,20177.04,16383.11,0.81,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100531,12,11,12,11,42627.77,28418.97,0.67,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100681,14,12,14,12,37850.79,19651.59,0.52,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100420,11,12,12,13,24412.08,37498.6,1.54,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100813,13,12,13,12,18616.34,22090.09,1.19,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100734,17,13,17,13,29861.02,31068.31,1.04,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100842,10,8,10,8,15341.57,21435.36,1.4,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100046,13,12,13,13,29368.93,20958.5,0.71,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100578,10,10,10,10,30571.45,15539.18,0.51,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100936,11,12,11,12,17677.31,32908.74,1.86,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100992,17,8,17,8,27935.73,16924.72,0.61,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100676,12,8,12,8,33941.94,17166.09,0.51,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100306,11,11,11,11,21807.13,31910.93,1.46,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100779,10,7,10,7,18699.7,19482.74,1.04,1,55,MEDIUM,10+ incoming counterparties | Multiple outgoing counterparties | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100612,12,13,12,13,18134.57,46760.41,2.58,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100994,11,8,12,8,17718.56,53571.78,3.02,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100068,10,13,11,13,19653.62,33580.27,1.71,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100459,12,12,12,12,15460.54,42838.34,2.77,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100850,10,13,10,13,21435.81,60507.56,2.82,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100629,10,12,11,12,14989.83,31933.09,2.13,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100445,20,14,20,14,54522.5,35237.08,0.65,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100664,10,12,10,12,25719.41,46941.26,1.83,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100787,12,8,12,8,6799.29,10291.17,1.51,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100640,13,10,13,10,25496.29,71622.09,2.81,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100240,13,8,13,8,27692.91,37347.56,1.35,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100961,10,14,10,14,25499.4,20078.89,0.79,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100357,10,9,10,9,42079.35,26985.45,0.64,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100488,13,12,13,12,12451.77,47350.95,3.8,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100164,10,11,10,11,8665.1,35982.75,4.15,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100059,10,8,10,8,24543.51,18745.77,0.76,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100674,13,12,13,12,33561.28,20979.0,0.63,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100440,12,12,12,12,14296.06,31878.62,2.23,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100401,11,13,11,13,12676.45,18091.13,1.43,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100117,10,12,10,12,9866.27,26422.12,2.68,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100239,10,8,10,8,44680.41,27133.95,0.61,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100559,12,10,12,10,19621.61,26131.32,1.33,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100704,20,12,20,12,36910.94,23745.81,0.64,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100929,10,16,10,16,18670.74,41674.19,2.23,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100753,13,9,13,9,23440.16,14050.79,0.6,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100756,13,11,13,11,28370.55,24518.25,0.86,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100434,10,12,10,12,23083.1,24352.5,1.05,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100083,10,12,10,12,17788.56,12972.67,0.73,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100880,11,9,11,9,29618.18,60613.03,2.05,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100653,14,8,14,8,30744.69,16638.83,0.54,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100613,13,14,13,14,16796.52,19552.67,1.16,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100852,12,9,12,9,36399.43,19389.96,0.53,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100675,11,10,11,10,17928.02,19409.01,1.08,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100959,10,10,10,10,14790.91,23552.12,1.59,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100318,12,10,12,10,49032.15,29762.02,0.61,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100726,11,10,11,10,27541.35,36600.25,1.33,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100682,15,13,15,13,24322.42,28295.1,1.16,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100776,11,12,11,12,14262.4,21082.12,1.48,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100926,10,8,10,8,17117.37,23382.89,1.37,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100194,17,14,17,14,65006.26,41054.92,0.63,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100018,11,14,11,14,13792.86,27588.5,2.0,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100543,11,14,11,14,15883.33,47568.04,2.99,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100998,13,9,13,9,13026.1,13771.65,1.06,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100911,12,16,12,16,24078.89,44776.9,1.86,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100086,16,9,16,9,46270.96,26455.78,0.57,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100837,12,10,12,10,23115.45,19505.8,0.84,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100728,11,10,11,10,35450.55,21671.86,0.61,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100015,11,11,12,11,27662.03,39555.03,1.43,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100672,12,12,12,12,25843.42,33072.44,1.28,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100882,12,8,12,8,15437.33,20594.77,1.33,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100932,10,8,10,8,23238.31,13601.97,0.59,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100150,10,13,10,13,17771.59,33458.45,1.88,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100414,15,12,15,13,20429.63,28236.6,1.38,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100468,13,11,13,11,55895.0,28631.26,0.51,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100151,10,8,10,8,22214.87,15354.12,0.69,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100464,11,12,11,12,10727.51,47567.2,4.43,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100359,11,11,11,11,17766.13,11319.23,0.64,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
